ts,x,y,z
2024-01-01T00:00:00Z,20.0,40.0,12.0
2024-01-01T00:00:01Z,20.374024200155684,40.05,11.972286463125853
2024-01-01T00:00:02Z,20.74221187776357,40.1,11.889913892629476
2024-01-01T00:00:03Z,21.098817587258143,40.15,11.755165123780746
2024-01-01T00:00:04Z,21.438276615812608,40.2,11.571774521553897
2024-01-01T00:00:05Z,21.755291818821387,40.25,11.344824488166113
2024-01-01T00:00:06Z,22.04491628007,40.3,11.08060461173628
2024-01-01T00:00:07Z,22.30263050670808,40.35,10.786437359552716
2024-01-01T00:00:08Z,22.52441295442369,40.4,10.47047514660598
2024-01-01T00:00:09Z,22.706802782297284,40.45,10.141474403335408
2024-01-01T00:00:10Z,22.84695385806676,40.5,9.808552903971249
2024-01-01T00:00:11Z,22.942679171069468,40.55,9.480937080762336
2024-01-01T00:00:12Z,22.992484959812163,40.6,9.167706326905716
2024-01-01T00:00:13Z,22.995594021619496,40.65,8.877541374448517
2024-01-01T00:00:14Z,22.95195784062181,40.7,8.618483720500247
2024-01-01T00:00:15Z,22.86225734482908,40.75,8.397712768906132
2024-01-01T00:00:16Z,22.727892280477043,40.8,8.221346863573917
2024-01-01T00:00:17Z,22.55095936945536,40.85,8.094273727524367
2024-01-01T00:00:18Z,22.334219590663764,40.9,8.02001500679911
2024-01-01T00:00:19Z,22.081055095859817,40.95,8.000628673193185
2024-01-01T00:00:20Z,21.79541643231187,41.0,8.036651990577841
2024-01-01T00:00:21Z,21.481760895830263,41.05,8.127086625418407
2024-01-01T00:00:22Z,21.144982976157,41.1,8.269426314127529
2024-01-01T00:00:23Z,20.790337980090264,41.15,8.459726320493509
2024-01-01T00:00:24Z,20.4233600241796,41.2,8.692712758272776
2024-01-01T00:00:25Z,20.049775676688043,41.25,8.961928749230756
2024-01-01T00:00:26Z,19.675414596409677,41.3,9.259913366074924
2024-01-01T00:00:27Z,19.30611856279393,41.35,9.57840840113844
2024-01-01T00:00:28Z,18.947650316931146,41.4,9.90858723052284
2024-01-01T00:00:29Z,18.60560363590517,41.45,10.24129943106491
2024-01-01T00:00:30Z,18.28531604377297,41.5,10.567324370926451
2024-01-01T00:00:31Z,17.991785521286793,41.55,10.87762674591472
2024-01-01T00:00:32Z,17.729592514076217,41.6,11.163606979718342
2024-01-01T00:00:33Z,17.50282845632604,41.65,11.41733954858252
2024-01-01T00:00:34Z,17.31503192531425,41.7,11.631792625603866
2024-01-01T00:00:35Z,17.16913342309711,41.75,11.801022957524571
2024-01-01T00:00:36Z,17.06740964700471,41.8,11.920340573300733
2024-01-01T00:00:37Z,17.01144796254056,41.85,11.986438759787797
2024-01-01T00:00:38Z,17.002121633073866,41.9,11.99748570245724
2024-01-01T00:00:39Z,17.03957619285668,41.95,11.953175251456049
2024-01-01T00:00:40Z,17.123227176010584,42.0,11.85473540610195
2024-01-01T00:00:41Z,17.25176923692127,42.05,11.704894282679057
2024-01-01T00:00:42Z,17.423196519720225,42.1,11.50780450868661
2024-01-01T00:00:43Z,17.63483395899471,42.15,11.268928138843666
2024-01-01T00:00:44Z,17.883379023288825,42.2,10.994885282234232
2024-01-01T00:00:45Z,18.164953250002306,42.25,10.693270635670052
2024-01-01T00:00:46Z,18.475162767502223,42.3,10.372443007780465
2024-01-01T00:00:47Z,18.80916686002026,42.35,10.041293666861232
2024-01-01T00:00:48Z,19.161753505403222,42.4,9.708999932382772
2024-01-01T00:00:49Z,19.527420706975573,42.45,9.384770839008604
2024-01-01T00:00:50Z,19.90046235035733,42.5,9.07759192167362
2024-01-01T00:00:51Z,20.27505724547053,42.55,8.795976194630352
2024-01-01T00:00:52Z,20.645359964263445,42.6,8.54772822571455
2024-01-01T00:00:53Z,21.00559205666025,42.65,8.339727844166692
2024-01-01T00:00:54Z,21.35013222134185,42.7,8.177739476230647
2024-01-01T00:00:55Z,21.67360402427282,42.75,8.06625239251439
2024-01-01T00:00:56Z,21.970959796156368,42.8,8.008356294423484
2024-01-01T00:00:57Z,22.23755939962546,42.85,8.005655687607243
2024-01-01T00:00:58Z,22.469242637034515,42.9,8.058225415432249
2024-01-01T00:00:59Z,22.662394168952225,42.95,8.164608584807961
2024-01-01T00:00:60Z,22.81399993032421,43.0,8.321856941847095
2024-01-01T00:00:61Z,22.92169416395014,43.05,8.525612578408447
2024-01-01T00:00:62Z,22.98379633733353,43.1,8.770228705144863
2024-01-01T00:00:63Z,22.999337366829348,43.15,9.048926144008014
2024-01-01T00:00:64Z,22.968074739870147,43.2,9.35398120324924
2024-01-01T00:00:65Z,22.890496299293563,43.25,9.676939728235617
2024-01-01T00:00:66Z,22.76781263071802,43.3,10.008851395976102
2024-01-01T00:00:67Z,22.60193817175902,43.35,10.340517760227817
2024-01-01T00:00:68Z,22.395461337870472,43.4,10.66274717297516
2024-01-01T00:00:69Z,22.15160413098724,43.45,10.966609517506011
2024-01-01T00:00:70Z,21.874171861262575,43.5,11.243683693530558
2024-01-01T00:00:71Z,21.56749376647592,43.55,11.486290995654668
2024-01-01T00:00:72Z,21.23635545572527,43.6,11.687707917464984
2024-01-01T00:00:73Z,20.88592423159781,43.65,11.84235248367184
2024-01-01T00:00:74Z,20.5216684561413,43.7,11.945938946387274
2024-01-01T00:00:75Z,20.149272218903235,43.75,11.99559655835716
